university_name,scholarship_name,academic_requirements,minimum_gpa_or_percentage,english_language_requirement,course_requirements,nationality_restrictions,financial_need_required,other_conditions,required_documents,separate_application_required,auto_considered,application_steps,deadline,source_url,retrieved_on,confidence,notes
University of Cambridge,Cambridge Bursary Scheme,NOT_FOUND,NOT_FOUND,NOT_FOUND,Undergraduate courses only,UK and EU students (assessed as home fee status),True,"Must apply for Student Finance loan (England, Scotland, Wales, or Northern Ireland). No separate application required.",Student Finance application confirmation | Income assessment from regional Student Finance body,False,True,Apply for Student Finance through your regional body | Receive income assessment confirmation | Automatic consideration with Student Finance application,Dependent on Student Finance regional body deadlines,https://www.cambridgestudents.cam.ac.uk/fees-and-funding/cambridge-bursary-scheme,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Cambridge,Stormzy Scholarship,NOT_FOUND,NOT_FOUND,NOT_FOUND,Any undergraduate course at Cambridge,"UK students only; Black African, Black Caribbean, Black Other, Mixed White/Black Caribbean, or Mixed White/Black African ethnicity",NOT_FOUND,Confirmed undergraduate offer; must have home fee status; must have applied to Student Finance and received income assessment,Confirmed UCAS offer from Cambridge | Student Finance application and income assessment confirmation,True,False,Obtain Student Finance income assessment | Complete Stormzy Scholarship application when portal opens (usually August),Applications for 2026 entry open in August 2026; details to be confirmed,https://www.undergraduate.study.cam.ac.uk/fees-funding/scholarships-bursaries/stormzy-scholarship,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Cambridge,Formula 1® Engineering Scholarship,NOT_FOUND,NOT_FOUND,NOT_FOUND,First undergraduate Engineering degree,"UK students only; female students (any ethnicity) or male students of underrepresented ethnic minorities (Bangladeshi, Pakistani, Black African, Black Caribbean, Black Other, Mixed White/Black)",NOT_FOUND,Confirmed Engineering undergraduate offer; must have home fee status; must have applied to Student Finance and received income assessment,Confirmed UCAS offer from Cambridge for Engineering | Student Finance application and income assessment confirmation,True,False,Obtain Student Finance income assessment | Complete Formula 1 Scholarship application when portal opens (usually August),Applications for 2026 entry open in August 2026; details to be confirmed,https://www.undergraduate.study.cam.ac.uk/fees-funding/scholarships-bursaries/formula-1-engineering-scholarship,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Cambridge,Geography Scholarship,NOT_FOUND,NOT_FOUND,NOT_FOUND,Geography or related undergraduate course,UK students only; Black UK students from low income and/or disadvantaged backgrounds,True,Confirmed undergraduate offer,NOT_FOUND,True,False,NOT_FOUND,NOT_FOUND,https://www.undergraduate.study.cam.ac.uk/fees-funding/scholarships-bursaries/geography-scholarship,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Cambridge,Gates Cambridge Scholarship,Evidence of academic excellence required; must be academically outstanding,NOT_FOUND,NOT_FOUND,"PhD (full-time or part-time), MLitt (full-time), or one-year postgraduate taught course (full-time). Excludes MBA, EMBA, MFin, BusD, PGCE, MBBChir Clinical Studies, MD, and professional development courses",Non-UK citizens only. Any country outside United Kingdom eligible.,False,Needs-blind admissions process. Must demonstrate commitment to improving lives of others and capacity for leadership. Must have or obtain unconditional/conditional Cambridge offer.,Cambridge postgraduate application | Academic transcripts | References (academic/professional) | Research proposal (for PhD/MLitt applicants),True,False,Apply for postgraduate course at Cambridge | Be nominated by academic department | Submit Gates Cambridge Scholarship application | Undergo departmental ranking review | Selected applicants reviewed by selection panels,Two rounds: US citizens resident in USA (October 2026); All other applicants (December 2026 or early January 2027 depending on course). Exact dates to be confirmed.,https://www.gatescambridge.org/apply/,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Cambridge,Cambridge Trust Awards (Postgraduate),Academic merit based,NOT_FOUND,NOT_FOUND,Masters (one-year or two-year) and PhD postgraduate courses,International students (non-UK); specific country eligibility varies by award,True,Means-tested. Must be accepted for admission to Cambridge. Eligibility varies by specific award and country.,Confirmed Cambridge postgraduate offer | Completed Cambridge Trust application | Financial need documentation,True,False,Receive Cambridge postgraduate offer | Register on Cambridge Trust website | Complete application for eligible awards for your country | Submit supporting documents indicating financial need,Varies by award; typically align with postgraduate course deadlines (December 2026 - January 2027),https://www.cambridgetrust.org/scholarships/,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Cambridge,Cambridge Trust Awards (Undergraduate),Academic merit based,NOT_FOUND,NOT_FOUND,Undergraduate degree,International students; specific country eligibility varies by award,True,"Means-tested. Most awards are part-cost, not full scholarships. Must have received offer from Cambridge College. Eligibility varies by specific award and country.",Confirmed College offer from Cambridge | Completed Cambridge Trust application | Financial need documentation,True,False,Receive Cambridge College offer | College sends details and application form | Complete Cambridge Trust award application | Submit supporting financial documents,After College offer received; varies by award,https://www.cambridgetrust.org/scholarships/,2026-05-02,high,"Information sourced from official University of Cambridge, Cambridge Trust, and Gates Cambridge websites. For 2026/27 entry. Some 2026 entry scholarship details still under development (e.g., Stormzy and F1 scholarships). Specific application deadlines and full eligibility criteria for some awards to be confirmed closer to application windows. College-specific awards and smaller subject-specific prizes not included as per medium thoroughness requirement."
University of Oxford,Clarendon Fund Scholarship,Competitive academic merit-based selection,NOT_FOUND,NOT_FOUND,Available for all courses at graduate level,Open to international and UK applicants,False,Primarily funded by Oxford University Press,NOT_FOUND,False,True,Apply for postgraduate programme through standard admissions,NOT_FOUND,https://www.clarendon.ox.ac.uk,2026-05-02,low,Oxford official scholarship pages returned access errors during this run. Current 2026/27 detail could not be fully verified from official sources.
University of Oxford,Rhodes Scholarship,High academic achievement required,NOT_FOUND,NOT_FOUND,Any postgraduate course,"Restricted to specific nations; primarily Commonwealth countries, USA, Germany, and others",False,Requires demonstrated leadership and character,NOT_FOUND,True,False,Apply separately to Rhodes Trust | Application typically made through national selection committees,NOT_FOUND,https://www.rhodeshouse.ox.ac.uk,2026-05-02,low,Oxford official scholarship pages returned access errors during this run. Current 2026/27 detail could not be fully verified from official sources.
University of Oxford,Oxford Opportunity Bursaries,NOT_FOUND,NOT_FOUND,NOT_FOUND,Undergraduate programmes,UK students only,True,Means-tested,Financial documentation | NOT_FOUND - specific documents not accessible,False,True,Assessed during undergraduate application process,NOT_FOUND,https://www.ox.ac.uk/admissions,2026-05-02,low,Oxford official scholarship pages returned access errors during this run. Current 2026/27 detail could not be fully verified from official sources.
