1,University of Cambridge
2,University of Oxford
3,London School of Economics and Political Science, University of London
4,University of St Andrews
5,Durham University
6,Imperial College London
7,Loughborough University
8,University of Bath
9,University of Warwick
10,Lancaster University
11,University of Exeter
12,University of York
13,UCL (University College London)
14,University of Birmingham
15,University of Bristol
16,University of Sheffield
17,University of Southampton
18,The University of Edinburgh
19,King's College London, University of London
20,University of Surrey
21,University of Leeds
22,Cardiff University
23,University of Liverpool
24,Queen's University Belfast
25,Heriot-Watt University
26,University of East Anglia UEA
27,University of Nottingham
28,University of Manchester
29,University of Essex
30,University of Aberdeen
31,University of Glasgow
32,Newcastle University
33,University of Leicester
34,University of the Arts London
35,Royal Holloway, University of London
36,University of Reading
37,Northumbria University, Newcastle
38,University of Strathclyde
39,University of Dundee
40,Swansea University
41,Queen Mary University of London
42,University of Portsmouth
43,University of Sussex
44,Aston University, Birmingham
45,Aberystwyth University
46,Nottingham Trent University
47,Harper Adams University
48,Oxford Brookes University
49,University of Kent
50,Manchester Metropolitan University
