"university_name","scholarship_name","academic_requirements","minimum_gpa_or_percentage","english_language_requirement","course_requirements","nationality_restrictions","financial_need_required","other_conditions","required_documents","separate_application_required","auto_considered","application_steps","deadline","source_url","retrieved_on","confidence","notes"
"University of Manchester","Accommodation Bursary (Undergraduate, Home)","Must have applied for an undergraduate course starting Sep 2026 at Manchester.","NOT_FOUND","NOT_FOUND","Any undergraduate course; must apply for eligible halls as first-choice accommodation.","Home fee-status students only.","true","Requires Student Finance household-income assessment and consent to share data; household income must be £43,000 or below.","Evidence for any priority criteria claimed in the bursary form","true","false","Submit bursary form, have Manchester as firm choice by deadline, and provide supporting evidence for priority factors if claimed.","2026-07-06","https://www.manchester.ac.uk/study/undergraduate/fees-and-funding/scholarships-and-bursaries/accommodation-bursary/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Article 26 Scholarships (Undergraduate Sanctuary Seekers)","Applied for a Manchester undergraduate course starting Sep 2026.","NOT_FOUND","NOT_FOUND","Unavailable for Medicine, Dentistry, and Architecture.","For sanctuary-seeking applicants in the UK meeting specified immigration categories.","true","Must be unable to access mainstream UK student finance due to immigration status.","Scholarship application form | Immigration-status evidence","true","false","Apply to an eligible undergraduate course, then submit the Article 26 scholarship application when open.","NOT_FOUND","https://www.manchester.ac.uk/study/undergraduate/fees-and-funding/scholarships-and-bursaries/article-26-scholarships/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","The Bason Family Bursary (Undergraduate, Home)","Applied for an undergraduate degree starting Sep 2026.","NOT_FOUND","NOT_FOUND","Undergraduate study at Manchester.","Home fee-status only; restricted to specified Black heritage ethnicity categories.","true","Requires Student Finance assessment, household income <= £35,000, and current/long-term Greater Manchester residence.","Evidence documents for any priority criteria claimed | Completed bursary/scholarship application form","true","false","Submit one shared form (also used for Cowrie), then shortlisted candidates attend online interview.","2026-04-26","https://www.manchester.ac.uk/study/undergraduate/fees-and-funding/scholarships-and-bursaries/bason-family-bursary/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","The Cowrie Foundation Scholarships (Undergraduate, Home)","Applied for an undergraduate degree starting Sep 2026.","NOT_FOUND","NOT_FOUND","Undergraduate study at Manchester.","Home fee-status only; restricted to specified Black heritage ethnicity categories.","true","Requires Student Finance assessment and household income <= £35,000.","Evidence documents for any priority criteria claimed | Completed scholarship application form","true","false","Submit one shared form (also used for Bason), then shortlisted candidates attend online interview.","2026-04-26","https://www.manchester.ac.uk/study/undergraduate/fees-and-funding/scholarships-and-bursaries/cowrie-foundation-scholarships/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","The Sadler Bursary (Undergraduate, Home care-experienced)","Applied for an undergraduate degree starting Sep 2026.","NOT_FOUND","NOT_FOUND","Undergraduate study at Manchester.","Home fee-status only.","false","Must be care-experienced/care leaver and aged 24 or under on 1 Sep 2026.","Local-authority/social-worker letter confirming care history and placement history | Evidence of living in Blackpool or North West since 1 Sep 2022 | Evidence of being/were under care of a Blackpool/North West local authority","true","false","Submit bursary form when open and upload required evidence; small panel shortlists and decides.","NOT_FOUND","https://www.manchester.ac.uk/study/undergraduate/fees-and-funding/scholarships-and-bursaries/sadler-bursary/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Manchester Master's Bursary (Home students)","First master's qualification only; must have started UG after Sep 2012 and graduated no earlier than Jun 2021.","NOT_FOUND","NOT_FOUND","Eligible master's courses only; full-time or part-time (max 2 years), Sep 2026 start.","Home fee status for both undergraduate and master's studies.","false","Applicants must also meet at least one widening-participation priority criterion and provide evidence.","Formal evidence for priority criteria | Supporting statement","true","false","Complete bursary application form and upload evidence; awards are then prioritized among eligible applicants.","2026-05-31","https://www.manchester.ac.uk/study/masters/fees-and-funding/masters-student-funding/masters-bursary/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Global Futures Scholarships (International UG and Master's)","Must hold an offer for full-time on-campus study starting Sep 2026.","NOT_FOUND","Course-offer requirements apply; scholarship page gives no standalone threshold.","Full-time on-campus undergraduate or master's only.","Only applicants living in listed eligible countries/regions.","false","Must be self-funded (not externally sponsored).","Online scholarship form emailed to relevant offer-holders | NOT_FOUND","true","false","Secure eligible Manchester offer; complete region-specific scholarship form sent by the International Office.","NOT_FOUND","https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/global-futures-scholarship/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Humanitarian Scholarships (International undergraduate)","Strong prior academic performance and application to eligible Sep 2026 undergraduate study.","NOT_FOUND","No proof needed at scholarship application stage; must later meet offer-set English condition. Duolingo not accepted.","Most 3-year UG and approved foundation routes; excludes Medicine, Dentistry, Nursing, Architecture and INTO Humanities foundation.","Must not currently live in UK/EU; for people displaced by recent conflict.","false","Must be at serious conflict-related risk, displaced within last 3 years, unable to continue university, and not previously studied in UK/EU.","UCAS course application | Scholarship online form","true","false","Apply via UCAS, then submit scholarship form; no interview; scholarship decision sent by email.","2026-03-31","https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/humanitarian-scholarship/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Equity and Merit Scholarships (International Master's)","Excellent bachelor's degree (typically top 10% of class), with graduation before Sep 2024.","Top 10% of class (typical benchmark); exact GPA conversion NOT_FOUND.","NOT_FOUND","Only specific eligible master's courses (full-time on-campus or selected part-time online).","Resident citizens of Ethiopia, Malawi, Rwanda, Tanzania, Uganda, or Zimbabwe.","true","Need >=2 years relevant paid professional experience; prior study outside Africa generally not allowed (except short <=6 months training).","Scholarship application form | Academic admission application (if invited)","true","false","Apply in scholarship window first; if eligible, submit academic course application; shortlist requires admission offer.","2025-08-31","https://www.manchester.ac.uk/study/masters/fees-and-funding/masters-student-funding/equity-merit-scholarships/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","GREAT Scholarships 2026 (International Master's)","Must hold a conditional or unconditional Manchester offer for an eligible one-year master's.","NOT_FOUND","NOT_FOUND","One-year postgraduate taught master's.","Manchester awards restricted to citizens/residents of Bangladesh, Ghana, or Pakistan.","false","Additional selection rules are in linked University eligibility-and-selection PDF.","Scholarship form emailed to relevant offer-holders | Offer evidence (held in admissions record)","true","false","Receive eligible Manchester offer, then submit GREAT scholarship form sent by International Office.","2026-04-23","https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/great-scholarships/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Women in STEM Scholarships 2026-27 (International Master's)","Must meet Manchester academic entry standards and have completed undergraduate degree (or complete before enrolment).","NOT_FOUND","Must meet Manchester English requirement for course admission.","Specific eligible STEM master's programmes only.","Women permanent residents/passport holders of Bangladesh, India, Nepal, Pakistan, or Sri Lanka.","true","Must plan to return home for >=2 years, show STEM engagement and impact intent; ineligible with dual UK citizenship.","Scholarship application form emailed to eligible offer-holders | Passport/travel document proving eligibility | Documents for UK visa eligibility | Evidence supporting financial-need case","true","false","Hold relevant offer, complete scholarship form sent from mid-January, and consent to British Council data-sharing.","2026-04-30","https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/women-in-stem-scholarships/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
"University of Manchester","Carbon Reduction Scholarship (Distance-learning MA Education for a Sustainable Environment)","Offer-holder for MA Education for a Sustainable Environment by distance learning.","NOT_FOUND","NOT_FOUND","MA Education for a Sustainable Environment, distance-learning registration required.","Open to both home and overseas applicants.","false","Selection is merit-based and based on contribution potential to programme diversity and enrichment.","NOT_FOUND","false","true","No separate bursary form; eligible applicants are assessed automatically.","NOT_FOUND","https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/carbon-reduction-scholarship/","2026-05-02","medium","Used official manchester.ac.uk pages. Some schemes provide country/course-specific rules via linked PDFs or profiles; those fields are marked NOT_FOUND where page-level detail was unavailable or cycle timing was unclear."
